node2	node1	estimate	edges
X37	X25	1.8006203543468054e-17	X25-X37
X37	X29	4.27626344459659e-17	X29-X37
X37	X30	3.465036601274073e-17	X30-X37
X37	X31	6.428549056590658e-18	X31-X37
X37	X35	2.80416762048408e-17	X35-X37
X37	X36	6.08770469251586e-17	X36-X37
X37	X37	1.0000000000000007	X37-X37
X37	X5	-1.0690070990364217e-18	X5-X37
X37	X95	-1.5699261227587597e-17	X95-X37
X38	X12	1.705413644413269e-17	X12-X38
X38	X14	1.231509903857834e-16	X14-X38
X38	X17	-9.347271123125518e-17	X17-X38
X38	X2	2.9255748895321923e-17	X2-X38
X38	X23	-1.2832103215539752e-16	X23-X38
X38	X24	7.547824419915193e-18	X24-X38
X38	X29	1.3795926540200158e-16	X29-X38
X38	X31	1.488697881842836e-17	X31-X38
X38	X32	-9.147302464272792e-17	X32-X38
X38	X33	-5.5316754273778746e-17	X33-X38
X38	X34	-1.0605811313207578e-18	X34-X38
X38	X36	-1.1710886571294547e-16	X36-X38
X38	X37	-1.176916353740333e-16	X37-X38
X38	X38	1.0000000000000013	X38-X38
X38	X7	5.4040410817590547e-17	X7-X38
X39	X14	1.516816753745458e-16	X14-X39
X39	X2	-3.5603478039949305e-17	X2-X39
X39	X23	1.403179268278864e-16	X23-X39
X39	X30	7.794536556983322e-17	X30-X39
X39	X32	9.305207132824292e-17	X32-X39
X39	X35	1.0992946680007228e-16	X35-X39
X39	X36	-1.8100281735342234e-16	X36-X39
X39	X39	0.9999999999999981	X39-X39
X39	X64	8.973391843706018e-17	X64-X39
X39	X66	-8.060824678832254e-17	X66-X39
X39	X95	5.853877532162025e-17	X95-X39
X4	X14	-1.3062464737122235e-13	X14-X4
X4	X22	1.2403468230161612e-14	X22-X4
X4	X23	1.0240774554408729e-14	X23-X4
X4	X28	-1.4002172900350752e-14	X28-X4
X4	X34	9.801418022078462e-17	X34-X4
X4	X36	-7.068885917852297e-15	X36-X4
